DAUID,Population,Employment rate,Area,Total - Structural type of dwelling
35204564,3268,53.9,39717.01241525311,1380.0
35204565,1395,67.1,22210.440485716565,780.0
35204566,502,65.3,13936.170244468536,285.0
35204567,7333,54.1,52543.92202879447,3235.0
35204568,628,42.5,67453.30974402298,330.0
35204569,559,78.1,56114.10700580709,230.0
35204570,566,62.0,37909.89314490505,225.0
35204571,972,62.7,47770.88957047934,285.0
35204572,496,71.8,47184.580290741585,150.0
35204573,552,66.7,49298.82703753243,215.0
35204574,501,38.7,169643.41608246468,195.0
35204575,571,,54175.03411108793,240.0
35204576,471,55.6,88334.22540794032,230.0
35204577,591,69.9,72365.23805873096,265.0
35204578,1142,71.2,41641.82935521896,770.0
35204579,802,61.1,27212.475322224356,565.0
35204580,946,70.0,24624.15237748015,650.0
